millis,ts,type,dpIn,dpOut,o2,millis_diff
36844.0,19:27:10.468 , Vol+O2,0.0,0.0,20.66,37.0
36881.0,19:27:10.469 , Vol+O2,0.0,0.0,20.66,37.0
36918.0,19:27:10.469 , Vol+O2,0.0,0.0,20.66,37.0
36955.0,19:27:10.470 , Vol+O2,0.0,0.0,20.66,37.0
36992.0,19:27:10.476 , Vol+O2,0.0,0.0,20.66,37.0
37029.0,19:27:10.476 , Vol+O2,0.0,0.0,20.66,37.0
37066.0,19:27:10.501 , Vol+O2,0.0,0.0,20.66,37.0
37103.0,19:27:10.501 , Vol+O2,0.0,0.0,20.66,37.0
37140.0,19:27:10.538 , Vol+O2,0.0,0.0,20.66,37.0
37176.0,19:27:10.538 , Vol+O2,0.0,0.0,20.65,36.0
37213.0,19:27:10.540 , Vol+O2,0.0,0.0,20.65,37.0
37250.0,19:27:10.540 , Vol+O2,0.0,0.0,20.65,37.0
37287.0,19:27:10.543 , Vol+O2,0.0,0.0,20.65,37.0
37324.0,19:27:10.543 , Vol+O2,0.0,0.0,20.66,37.0
37361.0,19:27:10.544 , Vol+O2,0.0,0.0,20.66,37.0
37398.0,19:27:10.544 , Vol+O2,0.0,0.0,20.66,37.0
37435.0,19:27:10.546 , Vol+O2,0.0,0.0,20.66,37.0
37472.0,19:27:10.546 , Vol+O2,0.0,0.0,20.69,37.0
37509.0,19:27:10.548 , Vol+O2,0.0,0.0,20.69,37.0
37546.0,19:27:10.548 , Vol+O2,0.0,0.0,20.69,37.0
37582.0,19:27:10.548 , Vol+O2,0.0,0.0,20.69,36.0
37619.0,19:27:10.548 , Vol+O2,0.0,0.0,20.69,37.0
37656.0,19:27:10.550 , Vol+O2,0.0,0.0,20.66,37.0
37693.0,19:27:10.553 , Vol+O2,0.0,0.0,20.66,37.0
37730.0,19:27:10.553 , Vol+O2,0.0,0.0,20.66,37.0
37767.0,19:27:10.555 , Vol+O2,0.0,0.0,20.66,37.0
37804.0,19:27:10.555 , Vol+O2,0.0,0.0,20.66,37.0
37841.0,19:27:10.560 , Vol+O2,0.0,0.0,20.66,37.0
37878.0,19:27:10.560 , Vol+O2,0.0,0.0,20.66,37.0
37915.0,19:27:10.621 , Vol+O2,0.0,0.0,20.66,37.0
37952.0,19:27:10.621 , Vol+O2,0.0,0.0,20.66,37.0
37989.0,19:27:10.623 , Vol+O2,0.0,0.0,20.66,37.0
38026.0,19:27:10.623 , Vol+O2,0.0,0.0,20.66,37.0
38063.0,19:27:10.623 , Vol+O2,0.0,0.0,20.66,37.0
38100.0,19:27:10.623 , Vol+O2,0.0,0.0,20.66,37.0
38137.0,19:27:10.625 , Vol+O2,0.0,0.0,20.66,37.0
38174.0,19:27:10.625 , Vol+O2,0.0,0.0,20.66,37.0
38211.0,19:27:10.629 , Vol+O2,0.0,0.0,20.66,37.0
38248.0,19:27:10.629 , Vol+O2,0.0,0.0,20.66,37.0
38285.0,19:27:10.635 , Vol+O2,0.0,0.0,20.66,37.0
38322.0,19:27:10.635 , Vol+O2,0.0,0.0,20.66,37.0
38359.0,19:27:10.638 , Vol+O2,0.0,0.0,20.66,37.0
38395.0,19:27:10.638 , Vol+O2,0.0,0.0,20.66,36.0
38432.0,19:27:10.640 , Vol+O2,0.0,0.0,20.66,37.0
38469.0,19:27:10.640 , Vol+O2,0.0,0.0,20.66,37.0
38506.0,19:27:10.645 , Vol+O2,0.0,0.0,20.66,37.0
38543.0,19:27:10.645 , Vol+O2,0.0,0.0,20.66,37.0
38580.0,19:27:10.649 , Vol+O2,0.0,0.0,20.66,37.0
38617.0,19:27:10.649 , Vol+O2,0.0,0.0,20.66,37.0
38654.0,19:27:10.677 , Vol+O2,0.0,0.0,20.66,37.0
38691.0,19:27:10.677 , Vol+O2,0.0,0.0,20.66,37.0
38728.0,19:27:10.677 , Vol+O2,0.0,0.0,20.66,37.0
38765.0,19:27:10.677 , Vol+O2,0.0,0.0,20.66,37.0
38802.0,19:27:10.679 , Vol+O2,0.0,0.0,20.66,37.0
38839.0,19:27:10.679 , Vol+O2,0.0,0.0,20.66,37.0
38876.0,19:27:10.680 , Vol+O2,0.0,0.0,20.63,37.0
38913.0,19:27:10.680 , Vol+O2,0.0,0.0,20.63,37.0
38950.0,19:27:10.681 , Vol+O2,0.0,0.0,20.63,37.0
38987.0,19:27:10.681 , Vol+O2,0.0,0.0,20.63,37.0
39024.0,19:27:10.681 , Vol+O2,0.0,0.0,20.63,37.0
39061.0,19:27:10.688 , Vol+O2,0.0,0.33,20.63,37.0
39136.0,19:27:16.079 , Vol+O2,0.0,0.0,20.63,75.0
39176.0,19:27:16.082 , Vol+O2,0.0,0.0,20.66,40.0
39211.0,19:27:16.082 , Vol+O2,0.0,0.0,20.66,35.0
39251.0,19:27:16.087 , Vol+O2,0.0,0.0,20.66,40.0
39286.0,19:27:16.087 , Vol+O2,0.0,0.0,20.66,35.0
39325.0,19:27:16.087 , Vol+O2,0.0,0.0,20.66,39.0
39360.0,19:27:16.089 , Vol+O2,0.0,0.0,20.66,35.0
39401.0,19:27:16.089 , Vol+O2,0.0,0.0,20.66,41.0
39436.0,19:27:16.089 , Vol+O2,0.0,0.0,20.66,35.0
39473.0,19:27:16.091 , Vol+O2,0.0,0.0,20.66,37.0
39510.0,19:27:16.091 , Vol+O2,0.0,0.0,20.66,37.0
39549.0,19:27:16.093 , Vol+O2,0.0,0.2,20.66,39.0
39584.0,19:27:16.093 , Vol+O2,0.0,0.0,20.66,35.0
39621.0,19:27:16.093 , Vol+O2,0.0,0.0,20.66,37.0
39658.0,19:27:16.099 , Vol+O2,0.0,0.0,20.66,37.0
39695.0,19:27:16.099 , Vol+O2,0.0,0.0,20.66,37.0
39733.0,19:27:16.099 , Vol+O2,0.0,0.0,20.66,38.0
39768.0,19:27:16.100 , Vol+O2,0.0,0.0,20.66,35.0
39805.0,19:27:16.100 , Vol+O2,0.0,0.0,20.66,37.0
39842.0,19:27:16.110 , Vol+O2,0.0,0.0,20.66,37.0
39879.0,19:27:16.110 , Vol+O2,0.0,0.0,20.66,37.0
39916.0,19:27:16.110 , Vol+O2,0.0,0.0,20.63,37.0
39953.0,19:27:16.112 , Vol+O2,0.0,0.0,20.63,37.0
39990.0,19:27:16.110 , Vol+O2,0.0,0.0,20.63,37.0
40027.0,19:27:16.112 , Vol+O2,0.0,0.0,20.63,37.0
40064.0,19:27:16.112 , Vol+O2,0.0,0.0,20.66,37.0
40101.0,19:27:16.169 , Vol+O2,0.0,0.0,20.66,37.0
40138.0,19:27:16.169 , Vol+O2,0.0,0.0,20.66,37.0
40175.0,19:27:16.169 , Vol+O2,0.0,0.0,20.66,37.0
40212.0,19:27:16.171 , Vol+O2,0.0,0.0,20.63,37.0
40249.0,19:27:16.171 , Vol+O2,0.0,0.0,20.63,37.0
40286.0,19:27:16.207 , Vol+O2,0.0,0.0,20.63,37.0
40322.0,19:27:16.207 , Vol+O2,0.0,0.2,20.63,36.0
40359.0,19:27:16.207 , Vol+O2,0.47,0.0,20.63,37.0
40396.0,19:27:16.208 , Vol+O2,0.0,0.0,20.63,37.0
40433.0,19:27:16.208 , Vol+O2,0.0,0.0,20.63,37.0
40470.0,19:27:16.209 , Vol+O2,0.0,0.33,20.63,37.0
40507.0,19:27:16.209 , Vol+O2,0.0,0.0,20.63,37.0
